direction,threshold_points,n,wins,losses,win_rate,flat_minus110_roi
home,1,353,169,184,0.47875354107648727,-0.0860159670357971
away,1,265,127,138,0.47924528301886793,-0.08507718696397942
over,1,387,188,199,0.48578811369509045,-0.0725863284002819
under,1,247,108,139,0.43724696356275305,-0.16525579683474423
home,2,297,140,157,0.4713804713804714,-0.10009182736455466
away,2,220,107,113,0.4863636363636364,-0.07148760330578516
over,2,311,154,157,0.49517684887459806,-0.05466237942122187
under,2,191,83,108,0.43455497382198954,-0.1703950499762018
home,3,231,116,115,0.5021645021645021,-0.041322314049586785
away,3,169,83,86,0.4911242603550296,-0.06239913932221625
over,3,238,111,127,0.46638655462184875,-0.10962566844919787
under,3,148,66,82,0.44594594594594594,-0.14864864864864866
home,4,172,85,87,0.4941860465116279,-0.05655391120507403
away,4,136,68,68,0.5,-0.04545454545454549
over,4,199,95,104,0.47738693467336685,-0.0886249428962997
under,4,117,53,64,0.452991452991453,-0.13519813519813523
home,5,122,57,65,0.4672131147540984,-0.10804769001490318
away,5,106,54,52,0.5094339622641509,-0.02744425385934824
over,5,141,67,74,0.475177304964539,-0.0928433268858801
under,5,87,43,44,0.4942528735632184,-0.056426332288401305
home,7,72,33,39,0.4583333333333333,-0.125
away,7,62,31,31,0.5,-0.045454545454545484
over,7,66,32,34,0.48484848484848486,-0.07438016528925621
under,7,47,23,24,0.48936170212765956,-0.0657640232108317
