group,feature_count,safe_removal_candidate,delta_margin_mae,delta_total_mae,delta_cover_brier,delta_over_brier
drives_finishing,12,True,-0.17271685845298457,-0.1613919309752525,-0.010741023205698697,-0.0052180024826701255
efficiency_success,16,True,-0.028848678763884195,-0.18585453600809032,-0.0022712828976646504,-0.007508721289288256
explosiveness,8,True,-0.08658663771544184,-0.06744387657085937,-0.004299855329832403,-0.005343109165307558
pace_pass_tendency,4,True,-0.07413941477961039,-0.08126401523940707,-0.0005312021497507202,-0.0032345140003339767
pressure_sacks,12,True,0.0023550270771135473,-0.27879330265564484,-0.0024894508412890426,-0.009858766794584362
qb_passing,20,True,-0.0039717840652429,-0.2664010166916757,-0.004403648654322134,-0.00757458383690518
rest_context,3,False,0.012249514823665208,-0.00032236306673283366,-0.0006486233233492511,-0.00012780426556263658
rushing,4,True,-0.040942538529508354,-0.08523341209486723,-0.0027015411627318575,-0.00354058900505283
turnovers,4,True,0.06169395738652028,-0.10256652275608857,-0.0011857580740937679,-0.004005736865794585
volume_sample,6,True,-0.013853380367025991,-0.040268194940283664,-0.003128263841307155,0.0002978760905223421
